#,Ticker,Price,DCF Price,DCF Diff %,Target Price,Target Diff %,# Targets,Consensus Rating,# Ratings,Expected Return,Financial Score,Piotroski Score,PE ratio,PEG ratio,Insiders Change,Institutional Change,Senate Change
415,KDP,31.86,51.64,62.1,-,-,0,-,0,-,3,6,19.0,3.75,42.90%,3.35%,-
416,DOC,20.14,32.56,61.6,-,-,0,-,0,-,2,6,57.5,1.66,0.00%,-32.84%,-
417,SCHW,81.73,131.63,61.0,-,-,0,-,0,-,3,7,25.2,1.35,26.36%,7.83%,-
418,CAG,26.04,41.57,59.6,-,-,0,-,0,-,3,8,25.3,0.27,100.00%,7.83%,-
419,KMB,130.47,206.27,58.1,-,-,0,-,0,-,1,7,20.9,-1.07,37.78%,-9.87%,-
420,UNH,537.37,829.13,54.3,-,-,0,-,0,-,2,7,34.6,67.02,4.60%,-3.33%,-
421,LKQ,37.99,56.75,49.4,-,-,0,-,0,-,3,6,14.0,-7.73,0.00%,6.57%,-
422,VZ,40.27,56.83,41.1,-,-,0,-,0,-,3,7,17.3,-1.32,8.91%,1.17%,-
423,LMT,456.52,635.70,39.2,-,-,0,-,0,-,3,7,20.2,-1.04,1.97%,-2.08%,-
424,T,24.41,33.34,36.6,-,-,0,-,0,-,2,5,19.4,-0.66,44.68%,-4.92%,-
425,DVA,174.86,220.91,26.3,-,-,0,-,0,-,3,8,17.7,-12.20,76.60%,-10.43%,-
426,MNST,48.99,61.08,24.7,-,-,0,-,0,-,3,7,29.8,-9.59,60.71%,-11.66%,-
427,AXP,315.64,375.39,18.9,-,-,0,-,0,-,3,7,22.6,15.94,36.14%,-4.97%,-
428,KR,61.23,72.57,18.5,-,-,0,-,0,-,3,6,16.0,-15.40,35.94%,-4.31%,-
429,PNC,204.16,233.99,14.6,-,-,0,-,0,-,3,5,15.8,-18.91,1.63%,6.53%,-
430,CRL,161.71,183.13,13.2,-,-,0,-,0,-,3,6,20.1,-4.76,0.00%,-28.79%,100
431,NDSN,221.48,247.74,11.9,-,-,0,-,0,-,3,6,27.3,-22.62,58.00%,-19.47%,-
432,SYF,68.32,76.40,11.8,-,-,0,-,0,-,3,6,8.5,1.31,68.90%,-0.97%,-
433,STE,221.75,235.73,6.3,-,-,0,-,0,-,3,6,50.4,5.83,0.00%,-18.63%,-
434,IVZ,19.27,19.47,1.0,-,-,0,-,0,-,1,3,-37.1,0.61,40.49%,-71.66%,-
435,LW,61.19,61.64,0.7,-,-,0,-,0,-,1,6,23.8,-0.59,41.39%,14.54%,-
436,DHR,226.62,226.03,-0.3,-,-,0,-,0,-,3,7,42.0,-5.98,40.21%,1.79%,-
437,BRO,104.50,104.04,-0.4,-,-,0,-,0,-,3,6,29.7,-5.50,0.14%,2.26%,-
438,HSIC,80.41,76.57,-4.8,-,-,0,-,0,-,3,5,32.3,-3.25,0.00%,-136.19%,100
439,TROW,115.21,109.34,-5.1,-,-,0,-,0,-,3,8,12.2,1.57,38.97%,-2.36%,-
440,TDY,509.81,474.18,-7.0,-,-,0,-,0,-,3,7,25.2,3.34,32.79%,-3.50%,-
441,JNPR,36.74,33.98,-7.5,-,-,0,-,0,-,3,5,48.4,8.83,44.15%,6.20%,-
442,GD,251.72,224.01,-11.0,-,-,0,-,0,-,3,6,18.2,7.39,34.74%,3.14%,-
443,SYY,72.55,62.59,-13.7,-,-,0,-,0,-,3,6,18.4,71.88,33.33%,8.96%,-
444,FDS,467.88,395.85,-15.4,-,-,0,-,0,-,3,8,33.0,116.21,63.71%,-6.17%,-
445,BF-B,32.75,27.43,-16.2,-,-,0,-,,-,3,5,15.4,6.38,0.00%,-5.69%,-
446,MMM,151.82,124.19,-18.2,-,-,0,-,0,-,3,6,19.8,-4.36,0.00%,-7.53%,-
447,TXT,76.44,61.72,-19.3,-,-,0,-,0,-,3,9,17.3,-3.05,100.00%,-80.09%,-
448,KEYS,169.92,134.05,-21.1,-,-,0,-,0,-,2,6,47.9,-1.47,50.32%,-61.63%,-
449,MKTX,220.57,173.96,-21.1,-,-,0,-,0,-,3,5,29.7,4.69,100.00%,-51.67%,-
450,ADP,304.42,239.22,-21.4,-,-,0,-,0,-,3,9,31.6,11.58,28.01%,-4.23%,-
451,OTIS,95.87,75.24,-21.5,-,-,0,-,0,-,2,6,23.2,1.95,46.72%,-0.68%,-
452,FFIV,298.69,234.02,-21.6,-,-,0,-,0,-,3,7,29.3,5.54,68.72%,-6.80%,-
453,MKC,77.51,59.65,-23.1,-,-,0,-,0,-,3,7,26.4,-39.05,100.00%,-1.21%,-
454,TEL,148.70,114.08,-23.3,-,-,0,-,0,-,3,7,23.2,-0.59,0.00%,-14791.01%,-
455,PCAR,111.18,84.62,-23.9,-,-,0,-,0,-,3,7,14.0,-1.21,-,-16.56%,-
456,PAYX,147.52,110.71,-24.9,-,-,0,-,0,-,4,9,30.9,-0.64,0.00%,-9.61%,-
457,WY,30.87,22.26,-27.9,-,-,0,-,0,-,2,6,42.2,-1.50,72.41%,-18.00%,0
458,NTAP,120.68,84.63,-29.9,-,-,0,-,0,-,3,7,21.4,-0.48,8.45%,19.34%,0
459,SBUX,108.66,72.13,-33.6,-,-,0,-,0,-,2,7,35.0,-5.52,87.67%,-27.33%,-
460,K,81.97,52.80,-35.6,-,-,0,-,0,-,3,7,28.0,2.66,0.00%,4.03%,-
461,DHI,143.19,90.98,-36.5,-,-,0,-,0,-,3,4,9.9,-6.81,50.00%,-6.34%,-
462,ZTS,170.37,105.39,-38.1,-,-,0,-,0,-,3,7,31.8,7.38,40.34%,-18.87%,-
463,PKG,219.31,134.08,-38.9,-,-,0,-,0,-,3,6,25.3,3.30,0.00%,-33.30%,-
464,ANET,107.90,65.96,-38.9,-,-,0,-,0,-,3,7,50.9,6.47,24.38%,-1998.19%,50
