ticker,signal,signal_date,tier,region,price_at_signal,future_price,stock_return,spy_return,alpha,net_alpha,round_trip_cost,beta,stock_return_eur,spy_return_eur,alpha_eur,beta_adj_alpha_eur,regional_benchmark,regional_benchmark_return,regional_alpha,suggested_horizon_days,horizon
8001.T,H,2026-06-24,mega,us,1819.0,2034.0,11.819681143485433,4.816977769165176,7.002703374320257,6.822703374320257,0.18,,12.888511103015542,3.20435498956535,9.684156113450193,,SPY,4.816977769165176,7.002703374320257,90.0,30
VRT,B,2026-06-24,large,us,316.3524475097656,275.1025695800781,-13.039215676816958,4.816977769165176,-17.856193445982136,-18.096193445982134,0.24,2.356760652075435,-14.377118607392458,3.20435498956535,-17.581473596957807,-21.929016362081665,SPY,4.816977769165176,-17.856193445982136,30.0,30
FISV,S,2026-06-24,mid,us,48.189998626708984,54.11000061035156,12.284710836994,4.816977769165176,7.467733067828824,7.107733067828824,0.36,0.22879402002301902,10.557196016873105,3.20435498956535,7.352841027307755,9.82405875722963,SPY,4.816977769165176,7.467733067828824,90.0,30
2020.HK,B,2026-06-24,large,hk,66.54827117919922,73.01687622070312,9.720169926105877,4.816977769165176,4.903192156940701,4.663192156940701,0.24,,7.979493370742818,3.20435498956535,4.775138381177468,,2800.HK,9.243700980938213,0.4764689451676638,90.0,30
9988.HK,H,2026-06-24,mega,hk,99.4000015258789,124.4000015258789,25.150905046506683,4.816977769165176,20.33392727734151,20.15392727734151,0.18,,23.16542465175666,3.20435498956535,19.96106966219131,,2800.HK,9.243700980938213,15.90720406556847,90.0,30
PR,B,2026-06-24,mid,us,18.700000762939453,20.280000686645508,8.449197108255596,4.816977769165176,3.6322193390904207,3.272219339090421,0.36,-0.8409042547254104,6.7806921636536455,3.20435498956535,3.5763371740882954,9.475247908029747,SPY,4.816977769165176,3.6322193390904207,30.0,30
AMD,H,2026-06-24,mega,us,519.739990234375,489.2799987792969,-5.860621085043368,4.816977769165176,-10.677598854208544,-10.857598854208543,0.18,3.2003352114190387,-7.308967623234608,3.20435498956535,-10.513322612799957,-17.563977726226884,SPY,4.816977769165176,-10.677598854208544,90.0,30
EMAAR.AE,B,2026-06-24,large,us,12.5600004196167,11.020000457763672,-12.261145783465064,4.816977769165176,-17.078123552630238,-17.318123552630237,0.24,0.7111430132071053,-13.734824710190018,3.056451344689637,-16.791276054879656,-15.908398729173516,SPY,4.816977769165176,-17.078123552630238,90.0,30
MSFT,B,2026-06-25,mega,us,352.1670227050781,499.0505065917969,41.70847195131219,5.305736432020857,36.40273551929133,36.222735519291334,0.18,0.8300912187702635,39.61196362949988,3.7477889802964626,35.86417464920342,36.50095690715183,SPY,5.305736432020857,36.40273551929133,90.0,30
GOOG,B,2026-06-25,mega,us,341.9679870605469,353.24066162109375,3.2964122336255413,5.305736432020857,-2.0093241983953156,-2.189324198395316,0.18,1.4541235387213138,1.7681917618420417,3.7477889802964626,-1.9795972184544208,-3.681556412567395,SPY,5.305736432020857,-2.0093241983953156,45.0,30
AMZN,B,2026-06-25,mega,us,227.00999450683594,274.4800109863281,20.910980850256234,5.305736432020857,15.605244418235376,15.425244418235376,0.18,1.3786623543374976,19.122161353013013,3.7477889802964626,15.37437237271655,13.955225773877363,SPY,5.305736432020857,15.605244418235376,45.0,30
AAPL,H,2026-06-25,mega,us,274.91290283203125,313.05999755859375,13.876065595171411,5.305736432020857,8.570329163150554,8.390329163150554,0.18,0.7514311960950106,12.191324267514236,3.7477889802964626,8.443535287217774,9.375118711338365,SPY,5.305736432020857,8.570329163150554,90.0,30
NVDA,B,2026-06-25,mega,us,195.52122497558594,223.70968627929688,14.417085054183113,5.305736432020857,9.111348622162257,8.931348622162258,0.18,1.8840420096532502,12.724339605230561,3.7477889802964626,8.976550624934099,5.663347723036509,SPY,5.305736432020857,9.111348622162257,45.0,30
META,B,2026-06-25,mega,us,542.8699951171875,592.0999755859375,9.068465914776317,5.305736432020857,3.76272948275546,3.5827294827554597,0.18,1.6489702568794105,7.45485069975802,3.7477889802964626,3.7070617194615574,1.2748581421887382,SPY,5.305736432020857,3.76272948275546,90.0,30
TSM,B,2026-06-25,mega,us,434.989990234375,420.0400085449219,-3.4368564852257846,5.305736432020857,-8.742592917246641,-8.922592917246641,0.18,2.2739531806163313,-4.865461502070767,3.7477889802964626,-8.61325048236723,-13.387758174094746,SPY,5.305736432020857,-8.742592917246641,7.0,30
0700.HK,B,2026-06-25,mega,hk,421.3999938964844,478.79998779296875,13.621261207370713,5.305736432020857,8.315524775349857,8.135524775349857,0.18,,11.850065397433184,3.7477889802964626,8.102276417136721,,2800.HK,11.31914828686004,2.302112920510673,90.0,30
DTE.DE,B,2026-06-25,large,eu,26.440000534057617,29.149999618530273,10.24961811548332,5.305736432020857,4.943881683462464,4.7038816834624635,0.24,-0.007761806613206992,10.249618115483328,3.454844936877044,6.794773178606284,10.276433953761984,EXS1.DE,4.483761446033185,5.765856669450136,90.0,30
LLY,B,2026-06-25,mega,us,1126.0762939453125,1184.0133056640625,5.145034313417816,5.305736432020857,-0.16070211860304084,-0.34070211860304084,0.18,0.6277121657346607,3.589464371833384,3.7477889802964626,-0.1583246084630785,1.2369316342949959,SPY,5.305736432020857,-0.16070211860304084,45.0,30
AVGO,B,2026-06-25,mega,us,378.9100036621094,427.760009765625,12.892245026889634,5.305736432020857,7.586508594868778,7.406508594868778,0.18,2.0829231682605607,11.222058848830606,3.7477889802964626,7.474269868534144,3.4157023520194825,SPY,5.305736432020857,7.586508594868778,90.0,30
BAC,H,2026-06-25,large,us,57.894615173339844,62.849334716796875,8.558169924132516,5.305736432020857,3.252433492111659,3.0124334921116587,0.24,0.4933625710245785,6.952104291550909,3.7477889802964626,3.2043153112544465,5.1030854845742635,SPY,5.305736432020857,3.252433492111659,90.0,30
BTC-USD,S,2026-06-25,mega,us,59721.67578125,64311.8125,7.685880643341061,5.305736432020857,2.3801442113202045,0.3801442113202045,2.0,1.0588766025166516,7.300731207425226,4.92909982243761,2.371631384987616,2.0814227339770586,SPY,5.305736432020857,2.3801442113202045,,30
ETH-USD,S,2026-06-25,large,us,1564.816650390625,1873.222412109375,19.708747452410012,5.305736432020857,14.403011020389155,12.403011020389155,2.0,1.569057502831992,19.280597018202307,4.92909982243761,14.351497195764697,11.546555959598734,SPY,5.305736432020857,14.403011020389155,,30
MSTR,H,2026-06-25,mid,us,85.33000183105469,100.01000213623047,17.203797011795206,5.305736432020857,11.898060579774349,11.53806057977435,0.36,2.812292607487111,15.469823506896695,3.7477889802964626,11.722034526600233,4.929944263187295,SPY,5.305736432020857,11.898060579774349,90.0,30
9201.T,H,2026-06-25,mega,us,2816.0,3050.0,8.309659090909092,5.305736432020857,3.003922658888235,2.8239226588882347,0.18,,8.980144727646433,3.7477889802964626,5.23235574734997,,SPY,5.305736432020857,3.003922658888235,90.0,30
7012.T,B,2026-06-25,mega,us,2941.5,2778.5,-5.541390447050825,5.305736432020857,-10.84712687907168,-11.02712687907168,0.18,,-4.956649053688333,3.7477889802964626,-8.704438033984797,,SPY,5.305736432020857,-10.84712687907168,90.0,30
MCD,H,2026-06-25,large,us,262.6729431152344,272.5428161621094,3.757476095490009,5.305736432020857,-1.548260336530848,-1.788260336530848,0.24,0.10773311815762358,2.222434406809781,3.7477889802964626,-1.5253545734866814,1.8186734137656628,SPY,5.305736432020857,-1.548260336530848,90.0,30
NKE,H,2026-06-25,mid,us,40.47068786621094,41.262290954589844,1.955991187982296,5.305736432020857,-3.349745244038561,-3.7097452440385608,0.36,0.8129865766750947,0.447601597431424,3.7477889802964626,-3.3001873828650385,-2.599300535760441,SPY,5.305736432020857,-3.349745244038561,,30
V,B,2026-06-25,mega,us,329.9071044921875,361.82781982421875,9.675667755371773,5.305736432020857,4.369931323350916,4.189931323350916,0.18,0.16312686877394758,8.053069282723913,3.7477889802964626,4.30528030242745,7.4417042015426444,SPY,5.305736432020857,4.369931323350916,45.0,30
NFLX,H,2026-06-25,large,us,70.9000015258789,74.13999938964844,4.569813531790847,5.305736432020857,-0.7359229002300101,-0.97592290023001,0.24,0.22077498963711492,3.0227537035324215,3.7477889802964626,-0.7250352767640411,2.1953356302453764,SPY,5.305736432020857,-0.7359229002300101,90.0,30
BKNG,B,2026-06-25,large,us,176.62344360351562,213.90341186523438,21.107032849730206,5.305736432020857,15.801296417709349,15.561296417709348,0.24,0.8576328674253146,19.31531285795236,3.7477889802964626,15.567523877655898,16.10108584827571,SPY,5.305736432020857,15.801296417709349,90.0,30
SPCX,H,2026-06-25,mega,us,153.0,133.11000061035156,-12.99999960107741,5.305736432020857,-18.305736033098267,-18.485736033098267,0.18,,-14.287122539617613,3.7477889802964626,-18.034911519914075,,SPY,5.305736432020857,-18.305736033098267,90.0,30
SAN.MC,B,2026-06-25,large,eu,11.916000366210938,12.86400032043457,7.955689200142907,5.305736432020857,2.6499527681220503,2.40995276812205,0.24,0.9488107756822712,7.9556892001429125,3.454844936877044,4.5008442632658685,4.677695095722637,EXS1.DE,4.483761446033185,3.471927754109722,7.0,30
UCG.MI,H,2026-06-25,large,eu,78.19000244140625,84.7300033569336,8.36424186126387,5.305736432020857,3.058505429243014,2.8185054292430136,0.24,1.187710690966491,8.364241861263878,3.454844936877044,4.909396924386834,4.260885594103561,EXS1.DE,4.483761446033185,3.8804804152306858,90.0,30
SYK,B,2026-06-25,large,us,315.2683410644531,339.0299987792969,7.536962840802953,5.305736432020857,2.2312264087820965,1.9912264087820966,0.24,0.2014436612033374,5.946005473231986,3.7477889802964626,2.198216492935523,5.1910371396235435,SPY,5.305736432020857,2.2312264087820965,90.0,30
0175.HK,B,2026-06-25,large,hk,17.219999313354492,18.420000076293945,6.968645823399225,5.305736432020857,1.662909391378368,1.422909391378368,0.24,,5.301154939529273,3.7477889802964626,1.5533659592328108,,2800.HK,11.31914828686004,-4.350502463460815,90.0,30
SU.PA,H,2026-06-25,large,eu,279.54998779296875,300.6000061035156,7.529965741274243,5.305736432020857,2.224229309253386,1.9842293092533858,0.24,1.7048646348267702,7.529965741274247,3.454844936877044,4.075120804397203,1.6399227895822497,EXS1.DE,4.483761446033185,3.0462042952410577,90.0,30
BARC.L,B,2026-06-25,mid,eu,521.2416381835938,520.0,-0.2382077893701223,5.305736432020857,-5.543944221390979,-5.903944221390979,0.36,0.9784900383231713,0.2803708653577264,3.454844936877044,-3.1744740715193176,-3.1001604893277066,ISF.L,3.4920064897782184,-3.7302142791483406,7.0,30
ACN,H,2026-06-25,mid,us,124.32508850097656,175.72000122070312,41.33913222134795,5.305736432020857,36.033395789327095,35.673395789327095,0.36,-0.13770654594545337,39.24808810225255,3.7477889802964626,35.50029912195609,39.764183177661614,SPY,5.305736432020857,36.033395789327095,90.0,30
6702.T,H,2026-06-25,mega,us,3187.0,3675.0,15.312205836209603,5.305736432020857,10.006469404188746,9.826469404188746,0.18,,16.02604039540423,3.7477889802964626,12.278251415107768,,SPY,5.305736432020857,10.006469404188746,90.0,30
VRTX,H,2026-06-25,large,us,480.17999267578125,496.07000732421875,3.3091788268584685,5.305736432020857,-1.9965576051623883,-2.236557605162388,0.24,0.4580431265975266,1.7807694795011653,3.7477889802964626,-1.9670195007952973,0.0641204971384175,SPY,5.305736432020857,-1.9965576051623883,90.0,30
JPM,H,2026-06-25,mega,us,333.6170654296875,357.5199890136719,7.16477844237321,5.305736432020857,1.8590420103523533,1.6790420103523533,0.18,0.4875400396761621,5.579327363013609,3.7477889802964626,1.831538382717146,3.752130174861988,SPY,5.305736432020857,1.8590420103523533,90.0,30
GILD,B,2026-06-25,large,us,123.83999633789062,133.2100067138672,7.566223072561311,5.305736432020857,2.260486640540454,2.0204866405404536,0.24,0.5785890939931038,5.974832814009767,3.7477889802964626,2.2270438337133047,3.8064029834226987,SPY,5.305736432020857,2.260486640540454,90.0,30
AIR.PA,H,2026-06-25,large,eu,195.0800018310547,212.4499969482422,8.904036781909841,5.305736432020857,3.5983003498889845,3.3583003498889843,0.24,0.9780229167508668,8.904036781909852,3.454844936877044,5.449191845032808,5.525119259823401,EXS1.DE,4.483761446033185,4.420275335876656,90.0,30
7269.T,B,2026-06-25,mega,us,1936.5,1956.0,1.0069713400464757,5.305736432020857,-4.298765091974381,-4.478765091974381,0.18,,1.6322500461404488,3.7477889802964626,-2.115538934156014,,SPY,5.305736432020857,-4.298765091974381,90.0,30
TSLA,H,2026-06-25,mega,us,375.1199951171875,328.5799865722656,-12.406698963189838,5.305736432020857,-17.712435395210694,-17.892435395210693,0.18,1.9116529546843442,-13.702599497787226,3.7477889802964626,-17.45038847808369,-20.867071375504384,SPY,5.305736432020857,-17.712435395210694,90.0,30
MU,H,2026-06-25,mega,us,1213.3734130859375,877.5700073242188,-27.675190682452786,5.305736432020857,-32.980927114473644,-33.160927114473644,0.18,3.640698703214675,-28.745201264881636,3.7477889802964626,-32.4929902451781,-42.38977174536922,SPY,5.305736432020857,-32.980927114473644,,30
